Link	Song	Singer
https://youtu.be/kUJv343NHsU	인연	이선희
https://youtu.be/AoVt7Qe9t1s	가시	버즈
https://youtu.be/j_Wobf3NBJ4	timeless	sg워너비
https://youtu.be/V3042w_YTI0	썸탈꺼야	볼빨간사춘기
https://youtu.be/eub40qSYYzI	심술	볼빨간사춘기
https://youtu.be/z40WZcL9e5I	한숨	이하이
https://youtu.be/bK8fVyP-98Q	깡	비
https://youtu.be/GOB38_2ZCx4	유리구슬	여자친구
https://youtu.be/-mgvTD47Yn4	fiesta	아이즈원
https://youtu.be/pfLIis1WtOY	DNA	방탄소년단
https://youtu.be/KkYXMpbJqZk	응급실	이지
https://youtu.be/zFHsa6iPM1k	Trip	릴러말즈
https://youtu.be/LYbICWnw8d4	친구	안재욱
https://youtu.be/6EQ4YU6P6Zg	잔소리	아이유
https://youtu.be/IB6kViGA3rY	주지마	로꼬
https://youtu.be/YE9KtT6pgcE	자니	프라이머리
https://youtu.be/Rq_acWJ3Gs4	취중고백	필
https://youtu.be/991mbLG3t-Y	너의번호를누르고	안녕
https://youtu.be/-kTHD27EvpU	눈물	플라워
https://youtu.be/YlY2euBAZfM	롤린	브레이브걸스
https://youtu.be/a5gEK-sr61o	골목길	양동근
https://youtu.be/JVIKowQZEdk	오래된노래	스탠딩에그
https://youtu.be/KGnzsxPRvpY	URMan	SS501
https://youtu.be/sr3JaQ3h7YA	눈의꽃	박효신
https://youtu.be/BRcNqVpqtXw	결혼까지생각했어	휘성
https://youtu.be/HbuiVJo0w1k	헤어지지못하는여자떠나가지못하는남자	리쌍
https://youtu.be/gyCss-xlMNA	Y	엠블랙
https://youtu.be/Vgm-adAsiIU	불면증	휘성
https://youtu.be/X2TPleB28ek	왜	동방신기
https://youtu.be/H0MQJfgjl3o	풍선	동방신기


		
